number,value,params_alpha,params_colsample_bytree,params_eval_metric,params_lambda,params_learning_rate,params_max_depth,params_min_child_weight,params_objective,params_subsample,params_tree_method,state
0,0.27541871610547486,0.005911149220203773,0.4980931266311911,logloss,5.980028158732128,0.004001478695548596,18,82,binary:logistic,0.8366366794505544,gpu_hist,COMPLETE
1,0.27809476649644677,0.042712463013276664,0.33344146052907087,logloss,0.6948545644622889,0.007536368466459567,20,223,binary:logistic,0.5351475098038997,gpu_hist,COMPLETE
2,0.2767763764860994,0.001489194411751277,0.5332495850578128,logloss,0.8684501283399051,0.04053233814321808,7,246,binary:logistic,0.9713262448203146,gpu_hist,COMPLETE
3,0.2597367762115338,1.4847215528440398,0.566795049372727,logloss,0.14792462607463536,0.0013493962729606863,11,178,binary:logistic,0.698474972518415,gpu_hist,COMPLETE
4,0.24188985901510618,0.047991352911253685,0.6707092030134221,logloss,0.08543725387068621,0.05781804981221367,16,137,binary:logistic,0.5762906589136387,gpu_hist,COMPLETE
5,0.27503029486777664,0.004847016229185082,0.46753295870798967,logloss,1.3114313259378536,0.004525897193282416,16,244,binary:logistic,0.9542950393386619,gpu_hist,COMPLETE
6,0.2793245115212991,0.004212656482907152,0.7752139823843462,logloss,0.0022265595625634814,0.007282990864957459,22,280,binary:logistic,0.5628845656749031,gpu_hist,COMPLETE
7,0.24478345769938645,0.004889316115588233,0.6148479985885842,logloss,0.008510472699271122,0.060486990096236384,13,122,binary:logistic,0.4187704527891777,gpu_hist,COMPLETE
8,0.27601035165153714,0.0049235469022910925,0.43429766738113884,logloss,0.7708449021117204,0.043544164417963986,5,60,binary:logistic,0.8653514225802904,gpu_hist,COMPLETE
9,0.2781447013155152,0.30368590764213726,0.632070674756779,logloss,0.015035637971691666,0.010511613657623117,4,177,binary:logistic,0.5037387105198614,gpu_hist,COMPLETE
10,0.2558195658184313,3.986654625325713,0.8820767247247439,logloss,0.001903865317013054,0.014567290630522015,25,10,binary:logistic,0.6859162452713773,gpu_hist,COMPLETE
11,0.28047726862315664,0.3363096953563141,0.7861596101559739,logloss,0.00883101985283247,0.016863545532035416,22,297,binary:logistic,0.4931778985231161,gpu_hist,COMPLETE
12,0.2813227702289817,0.1876597799666289,0.8581540148066872,logloss,0.0010939494108239182,0.020448470143465344,24,296,binary:logistic,0.608648990249498,gpu_hist,COMPLETE
13,0.27758921121495267,0.35710106649134316,0.9992152008027507,logloss,0.007054912404252413,0.02648789767537009,25,292,binary:logistic,0.4130545522698302,gpu_hist,COMPLETE
14,0.28191270233739635,0.38278467383013987,0.797352158724729,logloss,0.001026195576394392,0.01802672132425669,22,290,binary:logistic,0.637295960173477,gpu_hist,COMPLETE
15,0.27742291474218905,1.3548625713182925,0.9008641414698723,logloss,0.0012922516339968816,0.0244331291933343,22,213,binary:logistic,0.6386847838490284,gpu_hist,COMPLETE
16,0.24136313799439593,0.1396139217841989,0.7704087194518325,logloss,0.04658337252422016,0.0816296220592326,19,257,binary:logistic,0.7948564666166796,gpu_hist,COMPLETE
17,0.268598388224305,0.02661265440907087,0.887599747551112,logloss,0.003884171281082781,0.001039694543955674,24,197,binary:logistic,0.7750084486460954,gpu_hist,COMPLETE
18,0.2801630214294292,8.104437750263914,0.9956743939182162,logloss,0.001009366012525133,0.025480172283372238,10,264,binary:logistic,0.64442715108915,gpu_hist,COMPLETE
19,0.26770421382535964,0.9515140830600122,0.7289125039453557,logloss,0.022541988329195815,0.003124758805877213,16,300,binary:logistic,0.6030657639126398,gpu_hist,COMPLETE
20,0.2810576250232901,0.14034861422708864,0.8485668111723301,logloss,0.003482031910966937,0.016568649490027523,20,226,binary:logistic,0.738646206197247,gpu_hist,COMPLETE
