number,value,params_alpha,params_colsample_bytree,params_device,params_eval_metric,params_lambda,params_learning_rate,params_max_depth,params_min_child_weight,params_objective,params_subsample,params_tree_method,state
0,0.26109108822882937,9.320315815679743,0.4776492383662009,cuda,logloss,0.07466195314985066,0.0018203609305140708,16,96,binary:logistic,0.5246169803213723,hist,COMPLETE
1,0.2867794119615124,0.626089610737199,0.6172903057280863,cuda,logloss,0.014328554103490071,0.007502475526447511,19,64,binary:logistic,0.5482549322445943,hist,COMPLETE
2,0.2719569162390081,0.14741032763177675,0.45387629617273423,cuda,logloss,0.0016514750148457857,0.002307316920205442,14,222,binary:logistic,0.7706490603959448,hist,COMPLETE
3,0.2871776897327792,0.1860780014774321,0.7901829038590573,cuda,logloss,0.14190076165750204,0.015706484870345004,10,229,binary:logistic,0.7182899032077363,hist,COMPLETE
4,0.2742193278601675,0.1157478367733765,0.7397938980879554,cuda,logloss,0.12346198870593966,0.04714742561391673,24,209,binary:logistic,0.4442121727550773,hist,COMPLETE
5,0.21977795462487246,0.15264365387841783,0.780990911598183,cuda,logloss,0.7958983628658702,0.05780387652707354,23,99,binary:logistic,0.9721869592481668,hist,COMPLETE
6,0.2731793336046023,5.072753074242527,0.4623501062362608,cuda,logloss,0.014858045522160284,0.0027655235157144496,19,134,binary:logistic,0.691930464126908,hist,COMPLETE
7,0.2864662232878292,0.0030273404187424343,0.3417391047983184,cuda,logloss,2.9552741619956278,0.01100504352380817,17,185,binary:logistic,0.48628139151623695,hist,COMPLETE
8,0.2715011670181076,0.00662190637398792,0.9809006803595648,cuda,logloss,0.01361354575122534,0.002067224463178744,19,130,binary:logistic,0.8836119319222171,hist,COMPLETE
9,0.2619584318371698,0.9527863143034005,0.8368413951535223,cuda,logloss,0.05203704160640121,0.001113384386955863,17,275,binary:logistic,0.9240482682525161,hist,COMPLETE
10,0.287310628919522,0.010394732721273696,0.9874499364558075,cuda,logloss,9.08189916970161,0.02178677533349289,6,288,binary:logistic,0.65500252363536,hist,COMPLETE
11,0.28677876045327566,0.02158857535748837,0.9965940966650529,cuda,logloss,9.85906532665356,0.02404457657526235,7,296,binary:logistic,0.6653270596917202,hist,COMPLETE
12,0.28828159159349037,0.014880524122883714,0.8787082214055147,cuda,logloss,0.4527131171965395,0.01750626870154497,5,248,binary:logistic,0.8038160248960874,hist,COMPLETE
13,0.2864879574290006,0.015570093501439479,0.9056380617112334,cuda,logloss,0.839385250506897,0.028064344323050255,3,261,binary:logistic,0.8196290939389198,hist,COMPLETE
14,0.27052932602166047,0.0014597764348578779,0.8877338050758347,cuda,logloss,0.8574893963655454,0.0060906217244046205,3,5,binary:logistic,0.6229303414052831,hist,COMPLETE
15,0.26249988131635366,0.025417898769891166,0.6606579777857766,cuda,logloss,7.860212666192054,0.08059588232942129,8,253,binary:logistic,0.8177471738318643,hist,COMPLETE
16,0.27895323284291323,0.007523378677561412,0.916008281917975,cuda,logloss,2.26043212638049,0.027250589123800486,11,178,binary:logistic,0.6002475559184248,hist,COMPLETE
17,0.2757365820392531,0.04436225583187016,0.6828383303832777,cuda,logloss,0.3701030394316015,0.0045008716364623134,6,295,binary:logistic,0.7477601021618148,hist,COMPLETE
18,0.2852023273682302,0.0010802920190905402,0.5728634714131429,cuda,logloss,3.0208139310040183,0.015430557970936284,5,244,binary:logistic,0.4012349752835878,hist,COMPLETE
19,0.26196992895624666,0.005379924588920405,0.9502054659218852,cuda,logloss,0.30350423352657974,0.04351911798451886,12,187,binary:logistic,0.8425327750305721,hist,COMPLETE
20,0.28726775427643836,0.05018573783498673,0.8578571767846543,cuda,logloss,0.00198801391095107,0.013549778700076977,9,271,binary:logistic,0.6286154472701375,hist,COMPLETE
21,0.28770139031436576,0.03949482064813419,0.8562043726234028,cuda,logloss,0.0016723958224511212,0.013807911351262723,9,276,binary:logistic,0.6290041636872737,hist,COMPLETE
22,0.2878736853888741,0.011824274971267736,0.8103019612916915,cuda,logloss,0.0051279230484022045,0.021734326262461256,5,298,binary:logistic,0.7633992770853999,hist,COMPLETE
23,0.2829428942311858,0.050626097862000695,0.814018267899314,cuda,logloss,0.00428329797875527,0.00827684811642925,5,247,binary:logistic,0.7570614023275954,hist,COMPLETE
24,0.27940008390480897,0.0030497634700432812,0.7239421243136126,cuda,logloss,0.0050703916728649925,0.03549977502256232,13,300,binary:logistic,0.7918028033940002,hist,COMPLETE
25,0.2815653780399466,0.536199036442104,0.7405961773554739,cuda,logloss,0.0010381313607834533,0.004752694340478963,8,201,binary:logistic,0.8875564448422214,hist,COMPLETE
26,0.2833658675885405,0.0306356862839584,0.8479700113680989,cuda,logloss,0.03298206755074282,0.01112813087697247,4,236,binary:logistic,0.569602236067032,hist,COMPLETE
27,0.2846060651974281,0.013772551367915309,0.931051505426018,cuda,logloss,0.0045662743862480435,0.022000980901531325,10,270,binary:logistic,0.7133425437888017,hist,COMPLETE
28,0.25576125751908635,0.003085562353975379,0.7784962001744289,cuda,logloss,0.008104039782104368,0.09134174825763583,7,161,binary:logistic,0.8753153380754816,hist,COMPLETE
29,0.28648997705631035,0.08070398913694107,0.880983372171976,cuda,logloss,0.002166480931704974,0.018229926218110648,5,213,binary:logistic,0.9934314531976411,hist,COMPLETE
30,0.28377985453669985,0.2732448804233259,0.5578483820911022,cuda,logloss,0.027873065818461627,0.0328560157608476,9,281,binary:logistic,0.5197361685414426,hist,COMPLETE
31,0.28776625484735113,0.011701616196391642,0.9568463435306802,cuda,logloss,1.5881083415573023,0.01967004794459346,6,282,binary:logistic,0.6701375838775349,hist,COMPLETE
32,0.27724377987605114,0.015684379526799644,0.8303693001098719,cuda,logloss,1.4936175002979128,0.00982634021541297,3,265,binary:logistic,0.683219221660478,hist,COMPLETE
33,0.2877992644372666,0.06895547068731409,0.9507087283576916,cuda,logloss,0.286910715701719,0.017957505051520467,7,249,binary:logistic,0.731076326765912,hist,COMPLETE
34,0.2874268280578391,0.004476029025405787,0.9538464420902153,cuda,logloss,0.24187266594001985,0.01958219420759488,7,244,binary:logistic,0.7415056970196531,hist,COMPLETE
35,0.2816809086308281,0.08242785055175829,0.9396911830728418,cuda,logloss,0.4549047648199373,0.0072648710783868534,5,221,binary:logistic,0.7239912559447074,hist,COMPLETE
36,0.2787584939285251,0.009625959586574237,0.8983593019393498,cuda,logloss,0.16964747529900642,0.06233598788508241,4,37,binary:logistic,0.7845484384878947,hist,COMPLETE
37,0.2738841444741675,0.25572465632341823,0.7979319532267731,cuda,logloss,0.07443786923187821,0.03780771595752911,15,255,binary:logistic,0.8052587120476868,hist,COMPLETE
38,0.2873661514705957,3.3513494426749015,0.3075969121054885,cuda,logloss,0.5470836023317613,0.016061164115362955,11,227,binary:logistic,0.8444774525083002,hist,COMPLETE
39,0.28634421940884136,0.002109194187332992,0.9627259609721198,cuda,logloss,1.3461985055360508,0.012217641746384003,21,201,binary:logistic,0.7681811394071039,hist,COMPLETE
40,0.2726635678242947,0.12263121794162844,0.7613492050426399,cuda,logloss,0.11738317822293684,0.054882050908875296,6,95,binary:logistic,0.7003665714618719,hist,COMPLETE
41,0.2874340385324179,0.025241284235282466,0.8611565314017444,cuda,logloss,0.001089429427691133,0.014810208802281054,8,280,binary:logistic,0.5821796818658939,hist,COMPLETE
42,0.2871000308511415,0.011156700052726145,0.8769009527241721,cuda,logloss,0.23552387799581995,0.00926203973434639,9,284,binary:logistic,0.6467787853575182,hist,COMPLETE
43,0.28681574081952094,0.03520154102609598,0.40239986955139995,cuda,logloss,0.0024102424270275183,0.01821426593945806,4,234,binary:logistic,0.680594665809556,hist,COMPLETE
44,0.2859634698293221,0.06845938546331705,0.9199540147785199,cuda,logloss,0.083614089059802,0.024450878046199595,7,265,binary:logistic,0.7299528227709737,hist,COMPLETE
45,0.2857986440323192,0.020456677514203846,0.9856024378001417,cuda,logloss,4.665661415837947,0.030624289841495924,6,287,binary:logistic,0.5354433503781584,hist,COMPLETE
46,0.2876021758816503,0.0077364052873106215,0.6943252292860959,cuda,logloss,0.6835510952081345,0.012777536944859233,25,258,binary:logistic,0.6211279034549861,hist,COMPLETE
47,0.2853412699791322,0.168487649080688,0.8181192191170281,cuda,logloss,1.239610891792113,0.006608433436395612,10,296,binary:logistic,0.9357002383376851,hist,COMPLETE
48,0.2879464880988287,0.0180101957325728,0.6166639344981564,cuda,logloss,0.010761177648097047,0.020814996343679594,4,123,binary:logistic,0.6641200226670354,hist,COMPLETE
49,0.2862610967312579,0.0040999389485731775,0.5117343487671799,cuda,logloss,0.011188557776754586,0.026638966014569075,3,113,binary:logistic,0.6647718011407032,hist,COMPLETE
50,0.28306509840113414,0.019763712894128028,0.5928097669801347,cuda,logloss,0.027962564360789387,0.043376307084740114,5,150,binary:logistic,0.7652582614629944,hist,COMPLETE
51,0.28780376664370494,0.058944905713252504,0.5035084192313082,cuda,logloss,0.0030713275391026362,0.02089474797533604,6,116,binary:logistic,0.7022065432402868,hist,COMPLETE
52,0.28740661040536886,0.013169426682564472,0.6568560019785691,cuda,logloss,0.008728795035878869,0.021435499165861932,4,92,binary:logistic,0.712160079073994,hist,COMPLETE
53,0.28814793579591147,0.058785011901338294,0.49025874843578665,cuda,logloss,0.003114672429287577,0.017031739578631917,6,69,binary:logistic,0.6898194433245944,hist,COMPLETE
54,0.2672659664336727,0.10505478264952364,0.4397395623696879,cuda,logloss,0.003740489912900051,0.0011736505509675006,7,71,binary:logistic,0.8301335554120662,hist,COMPLETE
55,0.28315159869802947,0.053383803422878344,0.5200650371205734,cuda,logloss,0.01967098810284002,0.016871762908208295,3,120,binary:logistic,0.7003168777666021,hist,COMPLETE
56,0.2789744000288538,0.2429830744484951,0.623587839079229,cuda,logloss,0.003404588091659182,0.027048698931971975,8,78,binary:logistic,0.785347557376284,hist,COMPLETE
57,0.2858267763926734,0.0342944117314076,0.40949656161542036,cuda,logloss,0.006804292479723597,0.024110431056966614,6,56,binary:logistic,0.648337215373905,hist,COMPLETE
58,0.28370973067815547,0.055691356122576245,0.4870031655285362,cuda,logloss,0.00594553740409243,0.011471071203937566,4,139,binary:logistic,0.7454185870175322,hist,COMPLETE
59,0.286928709422177,0.01825013061242526,0.5295360163422361,cuda,logloss,0.0028361128194938174,0.015145532142965042,5,45,binary:logistic,0.8598653191077575,hist,COMPLETE
60,0.26588879231238843,0.02789539893903649,0.6220861321270649,cuda,logloss,0.01623835125052378,0.031901363162601164,18,112,binary:logistic,0.5982806446766101,hist,COMPLETE
61,0.28844618752205564,0.008528449689785592,0.4430134038675023,cuda,logloss,0.001376038103726437,0.020354205404160806,6,166,binary:logistic,0.6769688761897975,hist,COMPLETE
62,0.28671543636031804,0.00857298762078104,0.43789914713379524,cuda,logloss,0.0011646913400902978,0.021916334227226948,7,156,binary:logistic,0.687280269812188,hist,COMPLETE
63,0.2882964423805522,0.004917288265009116,0.377296587696817,cuda,logloss,0.0015208961723640357,0.017767663262153996,6,142,binary:logistic,0.7276804670931694,hist,COMPLETE
64,0.28593865384361195,0.004842307302616096,0.37466970352851947,cuda,logloss,0.0015429370847819094,0.03956633240983877,5,129,binary:logistic,0.6437399160062633,hist,COMPLETE
65,0.28501348080171435,0.006442361812757452,0.48518682089186266,cuda,logloss,0.0015211552584955485,0.013766396352930872,4,168,binary:logistic,0.7988734526344791,hist,COMPLETE
66,0.286968603330685,0.0057737984626107,0.33046670051190585,cuda,logloss,0.0033516605165959533,0.0088002537549373,8,142,binary:logistic,0.706482901078341,hist,COMPLETE
67,0.28593190551711617,0.003567618598801128,0.37486218415961775,cuda,logloss,0.0025508667619587614,0.02912773660198227,6,82,binary:logistic,0.7485217416280404,hist,COMPLETE
68,0.2851369177416274,0.0023897507275037733,0.5548669635643126,cuda,logloss,0.0018194716454394322,0.02222141010386383,3,175,binary:logistic,0.7745524511560695,hist,COMPLETE
69,0.28581396195062597,0.016936616148633794,0.4629702219115439,cuda,logloss,0.005500179179928835,0.01119632966822092,5,12,binary:logistic,0.6689427523943705,hist,COMPLETE
70,0.28836979050561834,0.002139272061321694,0.40617205842752835,cuda,logloss,0.0013346447753091457,0.019984633176034727,6,106,binary:logistic,0.7252982361621957,hist,COMPLETE
71,0.28838499766913234,0.0016476627952741105,0.38341267787158084,cuda,logloss,0.0013116548798941822,0.0200708669499586,6,106,binary:logistic,0.7207695283220406,hist,COMPLETE
72,0.2863133196253922,0.0018280661355057396,0.3710683848380317,cuda,logloss,0.0013002792507523415,0.018448524088958737,4,103,binary:logistic,0.7225986640040039,hist,COMPLETE
73,0.28805103837275076,0.0012934047334005412,0.4061855487228246,cuda,logloss,0.00204676307307531,0.015860176953144796,8,129,binary:logistic,0.808877036202945,hist,COMPLETE
74,0.2878769628627057,0.0012421056602936501,0.40999746723649927,cuda,logloss,0.0019502208352081979,0.016324108266853227,8,127,binary:logistic,0.8154647814745835,hist,COMPLETE
75,0.28769542112935115,0.0014302915933896703,0.43323862098502913,cuda,logloss,0.0010031823562768822,0.013744974426960063,10,104,binary:logistic,0.9040622740278197,hist,COMPLETE
76,0.2875200911484747,0.0010937784936737346,0.3510996563687287,cuda,logloss,0.0014419590916356071,0.00981782957335327,14,146,binary:logistic,0.6303477062918174,hist,COMPLETE
77,0.2877989156159307,0.002471094809518695,0.39538021733862194,cuda,logloss,0.002294370248772676,0.0170243054769499,7,89,binary:logistic,0.6072035556366173,hist,COMPLETE
78,0.28637823398999684,0.0018147648087418436,0.4614285493952127,cuda,logloss,0.004292966177400941,0.025022380296454608,6,134,binary:logistic,0.6830605299505661,hist,COMPLETE
79,0.2871592549270531,0.003637215518007829,0.3175354065009197,cuda,logloss,0.0017670837055682133,0.014725945755534441,9,123,binary:logistic,0.7293906378581976,hist,COMPLETE
80,0.28638227099415636,0.001619905577991266,0.34752266638552914,cuda,logloss,0.00143414738187149,0.03549348919167157,5,107,binary:logistic,0.6586366233533671,hist,COMPLETE
81,0.28776124918080964,0.0010217049180986431,0.42120248585877446,cuda,logloss,0.0020411891482400297,0.016868924790655115,8,157,binary:logistic,0.811033204257858,hist,COMPLETE
82,0.2886638608766539,0.0013986768053996072,0.3920507212036023,cuda,logloss,0.002557272756967618,0.012340283277010356,7,126,binary:logistic,0.8340542583663565,hist,COMPLETE
83,0.2885444813557894,0.002939702468002804,0.38759391359916223,cuda,logloss,0.047436480937560574,0.012205695939272457,7,136,binary:logistic,0.8357651347346814,hist,COMPLETE
84,0.28900710557194725,0.002690909338198801,0.3883387190449122,cuda,logloss,0.0395041197862086,0.012020168611982265,7,134,binary:logistic,0.8528810203785998,hist,COMPLETE
85,0.2876467734127876,0.00255230449739881,0.387662878692778,cuda,logloss,0.055045301500030085,0.010465566165299789,7,168,binary:logistic,0.8589486676824054,hist,COMPLETE
86,0.2876880987747494,0.002810750297106284,0.3613929243109131,cuda,logloss,0.036422838490347616,0.012273372511096036,11,188,binary:logistic,0.8365651718582137,hist,COMPLETE
87,0.2849011106607322,0.0020513630704693817,0.3335413061067148,cuda,logloss,0.054260303758754395,0.008071208996009986,6,139,binary:logistic,0.8688050283137636,hist,COMPLETE
88,0.28227458598730826,0.005133684936060539,0.30242167057061936,cuda,logloss,0.18176018394582255,0.004683746382166633,9,98,binary:logistic,0.9242569996037704,hist,COMPLETE
89,0.2824080160958755,0.003510988279021163,0.42699905831460566,cuda,logloss,0.044517402588771085,0.0036342670867373513,22,65,binary:logistic,0.898434497628847,hist,COMPLETE
