number,value,params_alpha,params_colsample_bytree,params_eval_metric,params_lambda,params_learning_rate,params_max_depth,params_min_child_weight,params_objective,params_subsample,params_tree_method,state
0,0.2782310029289215,0.23795917354802526,0.30753754272362344,logloss,0.04018105120650422,0.014218842768147158,14,57,binary:logistic,0.47959771707976684,gpu_hist,COMPLETE
1,0.2788395672405743,0.12216734665741828,0.35568581386029463,logloss,0.024030059990513084,0.016764080358068725,25,143,binary:logistic,0.7507360493726665,gpu_hist,COMPLETE
2,0.270570987023691,0.0032830055609559578,0.907102223767696,logloss,0.4390703500169156,0.030742924020688775,25,204,binary:logistic,0.5610809205209811,gpu_hist,COMPLETE
3,0.2631745178543997,0.28277671000577465,0.9473882408084175,logloss,1.1413204264802115,0.06731290699397988,6,275,binary:logistic,0.6759269497353815,gpu_hist,COMPLETE
4,0.23895292900506257,5.375598580433708,0.5297296752727064,logloss,0.006652389393208196,0.0011896064464252027,4,268,binary:logistic,0.6654716844033828,gpu_hist,COMPLETE
5,0.2677077332236658,0.13689650902409115,0.6640173425870264,logloss,0.6907171173709733,0.048934658762898535,21,270,binary:logistic,0.46705163620877116,gpu_hist,COMPLETE
6,0.2841752878869825,5.332064506595186,0.5722213687634099,logloss,0.10613754123896357,0.01069747259901222,10,111,binary:logistic,0.9269227767246805,gpu_hist,COMPLETE
7,0.26923302556445367,0.0010769971355505936,0.7061923709797999,logloss,0.0020453308252113855,0.0010198282482127932,25,18,binary:logistic,0.8437817571202539,gpu_hist,COMPLETE
8,0.2802601336107949,6.491984813945456,0.8399291391735004,logloss,0.020840527583618214,0.020518672662348542,3,169,binary:logistic,0.6782698688090631,gpu_hist,COMPLETE
9,0.2749422822616063,9.635088101059756,0.9253962570133758,logloss,0.0018131639298398295,0.047376126425724925,5,244,binary:logistic,0.495427456458608,gpu_hist,COMPLETE
10,0.2754885670153427,0.9421116528557796,0.49688910036831035,logloss,7.273020484868141,0.004782126164004059,11,101,binary:logistic,0.9851697967134619,gpu_hist,COMPLETE
