number,value,params_alpha,params_colsample_bytree,params_eval_metric,params_lambda,params_learning_rate,params_max_depth,params_min_child_weight,params_objective,params_subsample,params_tree_method,state
0,0.2790151032993089,0.10164370841935841,0.7995392666832839,logloss,1.4698756145809344,0.02014455774890158,6,18,binary:logistic,0.5393248559012488,gpu_hist,COMPLETE
1,0.20683456265296765,7.41029378350162,0.751173807593617,logloss,2.0730948221938066,0.08801830138717834,7,51,binary:logistic,0.9882578231582364,gpu_hist,COMPLETE
2,0.27614814170530677,2.521110018842359,0.4894280613851872,logloss,0.5544933888220553,0.004286818088819963,16,290,binary:logistic,0.7174975183315464,gpu_hist,COMPLETE
3,0.18946658293741508,0.022334411231148012,0.7195230288024277,logloss,0.002332928987222229,0.08980558991121762,10,194,binary:logistic,0.9702140958499402,gpu_hist,COMPLETE
4,0.25540671326297515,0.23044627683852625,0.3578865228716521,logloss,0.0020491300912607742,0.028041659275346194,13,197,binary:logistic,0.6047514536263288,gpu_hist,COMPLETE
5,0.27164275183006753,0.9490323255785635,0.5663904672058268,logloss,3.3718264871944545,0.002189745893665097,19,156,binary:logistic,0.8769175829702806,gpu_hist,COMPLETE
6,0.24835324654300792,2.2297987083184,0.44674761768080684,logloss,0.03239851951696736,0.040827910862621754,10,167,binary:logistic,0.4373750708637031,gpu_hist,COMPLETE
7,0.27469679964844396,0.010155541388503352,0.6451080425361453,logloss,0.0055302655681483195,0.004146810963528374,12,38,binary:logistic,0.5933883779919464,gpu_hist,COMPLETE
