number,value,params_alpha,params_colsample_bytree,params_eval_metric,params_lambda,params_learning_rate,params_max_depth,params_min_child_weight,params_objective,params_subsample,params_tree_method,state
0,0.2605804264923249,0.5183871766775192,0.588129207512678,logloss,0.8036197880944856,0.0010237457474431525,19,73,binary:logistic,0.7345094231931506,gpu_hist,COMPLETE
1,0.2723326125708266,0.5547713221648353,0.38643955157985044,logloss,0.5150431117525875,0.004684148923327703,19,226,binary:logistic,0.7404313331657215,gpu_hist,COMPLETE
2,0.27330989405488126,0.0013367149072522535,0.3218777009056813,logloss,0.22463769185417554,0.035481545710937375,25,235,binary:logistic,0.6476922737028861,gpu_hist,COMPLETE
3,0.21374178787651632,0.47503205190626646,0.9073555373226607,logloss,0.02588219729715983,0.01916194657123967,21,5,binary:logistic,0.93902700570027,gpu_hist,COMPLETE
4,0.2506050903244187,7.983067910372428,0.7972040048007626,logloss,1.4527324732989622,0.037788773611859824,8,12,binary:logistic,0.5322114535960899,gpu_hist,COMPLETE
5,0.2796737747509847,0.03907190647684065,0.6505547297793564,logloss,3.58853089923261,0.005713381470116442,16,70,binary:logistic,0.8820571272532136,gpu_hist,COMPLETE
6,0.27053026864300284,0.04073193921030537,0.5896699475757259,logloss,0.03578946019978161,0.0011488825669261915,24,155,binary:logistic,0.8138333072533721,gpu_hist,COMPLETE
7,0.23163962221790316,8.520711939213541,0.5544776841907268,logloss,2.060506895415343,0.03961482264372045,23,10,binary:logistic,0.5376218764885445,gpu_hist,COMPLETE
8,0.23091806133358864,0.001495326742258393,0.5904473515135131,logloss,0.3220051952974655,0.014817580319932078,18,7,binary:logistic,0.8223716506202714,gpu_hist,COMPLETE
9,0.27836339332486226,0.04035404896640757,0.9978547695187141,logloss,0.3808298876817921,0.006666033872827901,15,32,binary:logistic,0.48485210760027575,gpu_hist,COMPLETE
10,0.2361150063853931,0.009280629516414868,0.7274628374164334,logloss,6.826429146991506,0.08053389090737482,8,114,binary:logistic,0.9883465953483569,gpu_hist,COMPLETE
11,0.27851925055560484,0.031539773220315155,0.9986930006497283,logloss,0.0012682482208298885,0.00577881712934861,14,83,binary:logistic,0.4471901780857879,gpu_hist,COMPLETE
12,0.27020327693224216,0.015902286143353993,0.8348532830975718,logloss,0.0015146577088322093,0.0035942156418179954,13,144,binary:logistic,0.4110151411383759,gpu_hist,COMPLETE
13,0.27003362711298784,0.11558299925528909,0.9957982679455969,logloss,0.0011230543275362885,0.0028893332513989494,12,85,binary:logistic,0.6584479890871149,gpu_hist,COMPLETE
14,0.26959056759433914,0.0060360212524121,0.7246036931101261,logloss,0.0071301147502141485,0.008405889068977396,4,293,binary:logistic,0.40468531295650584,gpu_hist,COMPLETE
15,0.2811615532057057,0.10042429911875343,0.8864390636158737,logloss,9.72231660283291,0.010164401538448446,16,65,binary:logistic,0.5937923734160776,gpu_hist,COMPLETE
16,0.27940327634339324,0.12220017166937598,0.683842807849472,logloss,8.528439973453294,0.010893988868295672,16,53,binary:logistic,0.5947677314986828,gpu_hist,COMPLETE
17,0.2651259335538764,0.003847424326358924,0.8747943274226984,logloss,3.673694997731606,0.0026112704376379846,10,126,binary:logistic,0.8945952383330322,gpu_hist,COMPLETE
18,0.28302984301265577,0.18947262877466178,0.7864949467195775,logloss,9.743074486129112,0.010902666350727926,17,184,binary:logistic,0.8064333537839798,gpu_hist,COMPLETE
19,0.2828669514862208,0.23634593742433124,0.7872821623082764,logloss,9.382729297621234,0.011743467703630672,21,185,binary:logistic,0.6054928340728718,gpu_hist,COMPLETE
20,0.28028059897463775,0.28132982186451094,0.7824089483598303,logloss,1.2601812449413192,0.016987711885376695,22,187,binary:logistic,0.697070526944617,gpu_hist,COMPLETE
21,0.2820299474574795,0.21048875868404102,0.8541343698976633,logloss,7.527389301652098,0.010777117070072117,18,187,binary:logistic,0.5910420520234322,gpu_hist,COMPLETE
22,0.2820542591793508,1.5113267517881388,0.7873379223403761,logloss,3.3019659762206324,0.010908679344389653,21,193,binary:logistic,0.6171599285159316,gpu_hist,COMPLETE
23,0.27811703303220997,1.4667562685823918,0.747419902503419,logloss,2.9704968851518663,0.021250612073270538,21,207,binary:logistic,0.7730281869893961,gpu_hist,COMPLETE
24,0.2825545466156864,1.3797216431387582,0.8126016611617939,logloss,3.322764430075693,0.013377795652337819,20,265,binary:logistic,0.6411224182432017,gpu_hist,COMPLETE
25,0.2788729476741862,1.362381255275553,0.8159518983141159,logloss,1.1962569338168723,0.0235906082433934,19,274,binary:logistic,0.6878484456088912,gpu_hist,COMPLETE
26,0.28213228167106297,0.19986154322579805,0.923426066265558,logloss,4.918721050281282,0.014141698784939807,25,255,binary:logistic,0.6690389210691945,gpu_hist,COMPLETE
27,0.2828134173775079,0.7662876061385304,0.7601840642834026,logloss,2.1394744623936055,0.008638409369812753,17,151,binary:logistic,0.7234836174440717,gpu_hist,COMPLETE
28,0.2821277703020364,0.055862411163124494,0.6974051650575253,logloss,9.847545230901218,0.00790208055564538,17,162,binary:logistic,0.718476584144049,gpu_hist,COMPLETE
29,0.28250484664821784,0.5016145471081402,0.7472991845922499,logloss,1.5801706481279523,0.00817507269963599,13,123,binary:logistic,0.7508290713609147,gpu_hist,COMPLETE
30,0.27448852453726286,0.06431077130269101,0.6544172329910052,logloss,0.6981041913392124,0.0044431333470081194,23,167,binary:logistic,0.773362424532775,gpu_hist,COMPLETE
31,0.2829103094960124,1.0912752027296273,0.7790059961909562,logloss,4.84922518061821,0.011085689497384454,20,234,binary:logistic,0.7156370340073058,gpu_hist,COMPLETE
32,0.2817149249802026,0.9082058773200268,0.7687061221772206,logloss,5.1638121336296425,0.007931286602446254,18,231,binary:logistic,0.7083045842708173,gpu_hist,COMPLETE
33,0.2830742071389175,0.32255742876884513,0.8374487539484294,logloss,2.3176072954915248,0.013102347805824116,20,214,binary:logistic,0.7332726940394694,gpu_hist,COMPLETE
34,0.27338997121678404,0.3217606572875019,0.8432930464223293,logloss,5.334107691536522,0.026258694979264658,20,213,binary:logistic,0.7638160636468216,gpu_hist,COMPLETE
35,0.2809273188750173,0.15414317464792612,0.8280578316214043,logloss,0.6536141055269991,0.016744191147649305,20,240,binary:logistic,0.6832481701884504,gpu_hist,COMPLETE
36,0.2808161519265228,0.3465979679139495,0.9069385267078905,logloss,0.8339428774110482,0.014889023221918282,22,212,binary:logistic,0.7995637259214656,gpu_hist,COMPLETE
37,0.28170561177203246,0.24580951435899634,0.8029176785335672,logloss,2.2094964568486315,0.013040948429666641,19,174,binary:logistic,0.7368537948417783,gpu_hist,COMPLETE
38,0.27834819419870616,3.3667965825054833,0.9311976114781474,logloss,6.000534435917002,0.020350455231836467,23,240,binary:logistic,0.8591950941939026,gpu_hist,COMPLETE
39,0.278823436745377,0.4395772846076324,0.8679565110696988,logloss,0.1334627664260777,0.005767794074975833,25,201,binary:logistic,0.8026343045181484,gpu_hist,COMPLETE
40,0.27090056403101503,0.6012821806790655,0.695553056405728,logloss,4.444983192353111,0.02979749668903104,21,222,binary:logistic,0.8395765429884996,gpu_hist,COMPLETE
41,0.28239004681392266,0.7505007244088152,0.7721660847475156,logloss,2.408907072576011,0.009304817213805746,17,149,binary:logistic,0.7248765154060425,gpu_hist,COMPLETE
42,0.27756604674555757,0.18242413824718343,0.7528425517185641,logloss,1.9839731045663318,0.018841579875757825,17,184,binary:logistic,0.7387141098703096,gpu_hist,COMPLETE
