number,value,params_alpha,params_colsample_bytree,params_eval_metric,params_gamma,params_lambda,params_learning_rate,params_max_depth,params_min_child_weight,params_subsample,state
0,1190.001471881549,0.002029204338048935,0.6450263397925131,rmse,0.18894147828981853,0.04487336714382202,0.00324308732900686,12,213,0.6905213595280737,COMPLETE
1,1214.553923226225,0.012981617139502018,0.5087478518511187,rmse,0.047713003441842525,0.6616741446663259,0.0727966478873296,20,47,0.5673545369139393,COMPLETE
2,1223.1559299079654,7.095743345761853,0.4642299216150336,rmse,0.026536946778889382,2.5515090612087303,0.005635743972160351,4,189,0.5108132426925959,COMPLETE
3,1175.212443089713,0.0018559573226093252,0.5161150363112734,rmse,0.08946766601385525,6.777876276888022,0.004042046489263761,11,234,0.9036226322294381,COMPLETE
4,1167.5562183982713,0.0026504186752744022,0.8360341368901545,rmse,0.027080793807124345,0.007915730654593688,0.014568308870259665,4,5,0.6494895692179616,COMPLETE
5,1139.7726209747407,0.003600017913091938,0.860221426945406,rmse,0.0022548547237954864,0.002139398849776047,0.023809600443607793,12,259,0.6841083292002645,COMPLETE
6,1172.6619319185843,0.0573745023435027,0.9839120637590719,rmse,0.07700299834236539,0.013819894547887873,0.007072231642986522,6,285,0.7686101430769252,COMPLETE
7,1148.4433495551325,0.001980938703079229,0.8026016077020457,rmse,0.3100538312727623,0.346462145978855,0.042305085973705095,23,130,0.7717247030217693,COMPLETE
8,1198.1889796652865,0.0010840985319181796,0.42659248327068966,rmse,1.0483440842246443,0.001766025685368917,0.007573508739158703,4,241,0.7836467439266148,COMPLETE
9,1149.8643684720796,0.44148006573267445,0.8699125098711669,rmse,0.004837254359266983,0.007952169230069396,0.036755726711238224,18,227,0.6299126222754471,COMPLETE
10,1401.6757661550728,0.016419086300809075,0.3230410819388332,rmse,0.0010852632934391217,0.0015081888781552843,0.0012309266210220012,15,129,0.4167174394130017,COMPLETE
11,1144.7234274624493,0.00987370582805045,0.7601852465311963,rmse,1.6552349626510203,0.21897371355261952,0.0277330973285656,22,105,0.8440235429078286,COMPLETE
12,1167.2277704253677,0.010692344404770932,0.706945351777585,rmse,7.708658100901928,0.11016224718318235,0.02157425656996316,25,60,0.9395034519707994,COMPLETE
13,1141.730882483936,0.007988881570230958,0.984288684267366,rmse,0.007232373769619419,0.04583205148824073,0.018151918537387835,9,300,0.8681260363690695,COMPLETE
14,1148.4700331847573,0.06824351615997942,0.9867562807950205,rmse,0.0059388477668406246,0.0554391074315426,0.01145759326256299,8,298,0.8692262160760004,COMPLETE
15,1156.790970594539,0.005557077574800566,0.9018649913952882,rmse,0.0013363268831897575,0.02449730722975676,0.09929182371758859,9,268,0.7180554135893243,COMPLETE
16,1138.3873500780376,0.03628632952453391,0.9219589031623634,rmse,0.008268032774960821,0.0030570344535356003,0.01588688760544791,15,180,0.9241123079763852,COMPLETE
17,1139.8088811964228,0.0363166141777965,0.9096328709986421,rmse,0.0033027710088289904,0.0035857697652443192,0.0129270724692921,15,175,0.9905650169695875,COMPLETE
18,1150.088716735532,0.18232857232515676,0.7550876235906244,rmse,0.01465658071951294,0.0011783244164832386,0.04543174344722481,17,167,0.9835912711010498,COMPLETE
19,1137.1711684867607,0.028159971709037175,0.6628112721413523,rmse,0.0023385449688389155,0.0037783200446955155,0.022679668971309925,13,197,0.8168309320570594,COMPLETE
20,1138.0742011175103,0.024413142341317674,0.6269601333278692,rmse,0.013300768247535842,0.004531938445971617,0.010588957284804948,17,195,0.8188663464325392,COMPLETE
21,1138.0562438580066,0.02565972392859331,0.6280112008247027,rmse,0.009365488782866046,0.004371650302940324,0.01105088858370203,18,201,0.8189396873233917,COMPLETE
22,1139.8138588515621,0.029182980754823087,0.6417345848036374,rmse,0.002559974412794474,0.00585727076277011,0.00886831199499616,17,203,0.81925714832135,COMPLETE
23,1137.4587495981593,0.1574922412216594,0.5994430795848424,rmse,0.013931988985704242,0.016867187303428,0.01091348268886146,19,150,0.8088473769492905,COMPLETE
24,1139.0162760302019,0.13334750004747625,0.5904203469363339,rmse,0.01418678384823261,0.01594342770438491,0.01768402856276171,20,145,0.7401443308976254,COMPLETE
25,1151.5330090722841,0.2573351993276871,0.7053178199756173,rmse,0.002867815067091374,0.011150172442124335,0.027907978518193998,20,91,0.8116660569936703,COMPLETE
26,1138.2948026821728,0.10075764549948536,0.6960040721167665,rmse,0.0016956638740429342,0.004368911280000656,0.01104419120194262,13,153,0.8736657439677351,COMPLETE
27,1138.113730514812,0.5031042236307092,0.5775777220706998,rmse,0.004520358815838868,0.017943243935117308,0.01505250714292583,19,220,0.756872783361131,COMPLETE
28,1142.5930324613585,0.06474225890614328,0.5950018194258515,rmse,0.0011041596621236226,0.002734634333544138,0.006144861403044625,22,99,0.7949281018131205,COMPLETE
29,1144.4078214185781,0.019022677872683164,0.6775347812373782,rmse,0.009184047861946775,0.0010279132948665718,0.00909036469219226,11,208,0.7350418969562346,COMPLETE
30,1175.5421067908444,0.006296021137539868,0.6526349289937317,rmse,0.004180440545074787,0.03305768847221114,0.003502818263453677,13,157,0.8399250844946253,COMPLETE
