number,value,params_alpha,params_colsample_bytree,params_eval_metric,params_gamma,params_lambda,params_learning_rate,params_max_depth,params_min_child_weight,params_subsample,state
0,1153.9047102839215,0.37396473178755824,0.9802914723445177,rmse,2.4976036653926608,0.014628825564125135,0.007077195363949932,21,103,0.5831748786413105,COMPLETE
1,1152.8037149433378,0.004223795247327776,0.8563585093595041,rmse,0.004733057674009184,3.1439038474333483,0.041572221041158236,11,39,0.6537609000309387,COMPLETE
2,1152.6494876515594,1.0437215772193296,0.903961941847627,rmse,0.7095767047801149,3.394002859292195,0.012027434833880446,6,49,0.43157283939251745,COMPLETE
3,1200.0888343630525,0.056952775715929174,0.33980177072189466,rmse,0.0022428388958497312,0.008525164137928743,0.07317208234974358,16,45,0.5949935007704024,COMPLETE
4,1255.6955430591602,0.24647862382891408,0.9149285152282649,rmse,0.44599255050429926,0.17351924014684095,0.0020164229743935896,25,255,0.5473615928374558,COMPLETE
5,1139.0481442322161,2.871420705118351,0.47299983919124794,rmse,0.001275701010233539,0.5770527763167792,0.032035992029811694,16,251,0.9517056122592522,COMPLETE
6,1270.2415288786838,0.1301317851592962,0.5857360688789373,rmse,1.6298536022051264,0.50709893176338,0.0016688247776253146,17,17,0.8910223000129711,COMPLETE
7,1138.2996817769472,0.9884006340519874,0.4207432876496151,rmse,0.004308103647898522,0.0020854163252723096,0.014420916877788488,24,139,0.6240616479348934,COMPLETE
8,1361.729464159361,0.38405477479263345,0.7760092803906726,rmse,0.14531495007504577,0.0022194576281821883,0.0016663966558064808,5,263,0.7256316506395646,COMPLETE
9,1143.4489875378165,0.001589314780511067,0.7368115390999062,rmse,0.03172358172009596,3.3432486346630945,0.033031591302966616,6,218,0.6461801601787923,COMPLETE
10,1149.0641410572418,6.4252591921722155,0.3012056756264164,rmse,0.017557987642634113,0.0010105565175572227,0.007771415050459041,25,168,0.7738600690866198,COMPLETE
11,1136.6711770977101,9.944032138665197,0.48454284676727927,rmse,0.001171475437478398,0.04233352021024505,0.018450874638733884,12,161,0.9575502720337763,COMPLETE
12,1137.0497059329168,5.206430264922177,0.4994074937419894,rmse,0.0068460776221587446,0.02666024175293459,0.01512365079629148,11,138,0.9972433710542911,COMPLETE
13,1137.1823586145777,8.804419045428329,0.5698461798161741,rmse,0.0013930815744833739,0.047994725633311246,0.018127808235813482,11,181,0.9727590735250764,COMPLETE
14,1164.9871823777244,9.95021864439494,0.5023521533147429,rmse,0.008715013143593242,0.051324737184958266,0.005478091027890015,10,100,0.8556907323096803,COMPLETE
15,1174.7285099711505,2.656009608677501,0.6634473814361617,rmse,0.020624324601081552,0.014751234212867574,0.004290318669685902,9,124,0.9931730688743776,COMPLETE
16,1181.4225417548814,2.529770563033373,0.45546248015890645,rmse,0.06104043107198409,0.11003949859776505,0.020195332350150936,3,196,0.8538065507199081,COMPLETE
17,1141.4359078418884,9.091528504220182,0.384012435287989,rmse,0.0010000533944099412,0.031020063851667383,0.01059444575253378,13,89,0.9116177073207569,COMPLETE
18,1181.735305758817,1.3589814552064645,0.5284699277123901,rmse,0.00689870924630126,0.009501006129629858,0.09049567819668147,19,211,0.8048589482998705,COMPLETE
19,1168.4906955476015,0.036737820517932104,0.38033459154814675,rmse,0.0037741614665504214,0.176840465096405,0.00445056310293026,13,292,0.9937149899556316,COMPLETE
20,1138.5528902936073,3.527251306824153,0.567914729448371,rmse,0.012134355418840755,0.005534986713025049,0.02050649838932864,8,161,0.9134826358557555,COMPLETE
21,1136.3706917879363,6.205385329763424,0.6104990183444223,rmse,0.0016372031635612557,0.05450791660123217,0.01793599809492559,12,180,0.9563583397207381,COMPLETE
22,1137.3502337979342,4.9688048796579185,0.6366529258174096,rmse,0.0029832468443531366,0.028116625756915686,0.013230527194032346,13,136,0.9405771537953741,COMPLETE
23,1136.498033786087,1.4931252094274516,0.5030564576983279,rmse,0.002279615011344604,0.0695798726223597,0.022549114791934118,15,224,0.9366072126210958,COMPLETE
24,1137.1813776865529,1.6516571448141801,0.4460616000185238,rmse,0.0021325783974461394,0.06689418450840821,0.025912095775253073,15,228,0.8789808162507076,COMPLETE
25,1151.4117306728024,0.8822879628609636,0.6263186780983423,rmse,0.0011452258612549295,0.09743751583459313,0.04608347012108356,18,184,0.9428414184580097,COMPLETE
26,1139.774599156896,4.461854557356552,0.5193242067260396,rmse,0.0023940207220820627,0.24657595156375536,0.024382002518974193,19,201,0.8258819473541363,COMPLETE
27,1140.9713016693624,2.2936366731333186,0.42284871878024416,rmse,0.009841984472790196,0.04876938567432584,0.009637165417640862,14,232,0.918891312822466,COMPLETE
28,1174.466114829716,4.392490315909459,0.6776443304626653,rmse,9.983678050408146,0.09636391452410002,0.05101234502147218,21,161,0.876444949125373,COMPLETE
29,1138.563761715841,0.8081697549449558,0.5373164802343415,rmse,0.00217789879182982,0.015176962828678545,0.028131485145942242,8,297,0.9571968731359348,COMPLETE
30,1139.1437506105008,9.503401538335599,0.6026191684063126,rmse,0.0046458099473332,0.0189396704700609,0.0198155820661867,21,274,0.8214457968605672,COMPLETE
31,1136.1455857291255,5.132000199138348,0.489459145655897,rmse,0.006706910184257572,0.026937986012546402,0.0158780366985733,12,122,0.9715624422866664,COMPLETE
32,1135.5342094717537,1.891785271496699,0.48074310083390404,rmse,0.001868929663424034,0.029371560755495952,0.016060179016225515,12,115,0.9358146362206947,COMPLETE
33,1138.8355005700082,1.9482832716017415,0.549113027461878,rmse,0.0053817099514515635,0.027405142715271277,0.009218655244866588,15,78,0.9058495170808825,COMPLETE
34,1138.361370831965,0.5775577682740132,0.4876640017609892,rmse,0.00346131288210405,7.993764449642272,0.012909892509197425,10,113,0.9996803994763178,COMPLETE
35,1137.7809708404063,1.6536077162375242,0.5915147750316319,rmse,0.002732499591804063,0.009151042272306984,0.016120176893138143,14,72,0.9363604758608364,COMPLETE
36,1143.5955234930948,3.6300346913376313,0.5380001369411207,rmse,0.0019249110648973282,0.0646941738186549,0.036381492400659146,12,59,0.8954155124368813,COMPLETE
37,1140.30039134431,1.281587684772589,0.45093983473193044,rmse,0.0016499893025229777,0.019544748055807883,0.02582288067993532,17,111,0.9640176170313902,COMPLETE
38,1146.0350103693972,0.4428263569837816,0.6139796441529513,rmse,0.005497367716409114,0.2522840832128394,0.012293548887473983,15,17,0.8586702802893033,COMPLETE
