number,value,params_alpha,params_colsample_bytree,params_eval_metric,params_gamma,params_lambda,params_learning_rate,params_max_depth,params_min_child_weight,params_subsample,state
0,3002.9423269341655,0.10239515696626687,0.798416130459057,rmse,3.018186294545165,0.008297044963037301,0.0011132129156396743,8,186,0.5783037179602816,COMPLETE
1,1154.9363082837287,1.2052729800589586,0.6993848295585762,rmse,0.1926822059805296,5.3080088155493055,0.06432086880695681,11,131,0.5211068841838844,COMPLETE
2,2950.8362427620063,0.0012472792866953727,0.38084355543703097,rmse,0.6574446423240591,6.984420418825172,0.0012085698406469176,12,233,0.7242223676042923,COMPLETE
3,1268.6325473589359,0.011421112607565134,0.7611795829575838,rmse,0.001194875171302679,0.004254238680511412,0.005523096222023828,3,191,0.6090406407313148,COMPLETE
4,1156.9994180921337,0.09124994482430383,0.9367194809410164,rmse,0.00942443138387703,0.024692993721457262,0.007807405380582234,7,51,0.9469393481770911,COMPLETE
5,1172.2786701290624,2.6873091375819476,0.9294644791468796,rmse,8.343770980992137,0.27523703301396196,0.038481209529478214,17,139,0.9577221677177996,COMPLETE
6,1139.6742583276744,0.046386037898638204,0.48315083831510713,rmse,0.10254741275415756,0.0019798944350352117,0.013379892384943432,9,31,0.513972072973393,COMPLETE
7,1144.334812190885,0.0010101493566841192,0.7514711490631062,rmse,0.005704955602645667,1.6469028178510978,0.03447715733379431,5,57,0.690445578705351,COMPLETE
8,1170.9094514269912,0.02289734061821765,0.38813436367679965,rmse,0.004083248515982531,0.0016853320032812458,0.02407306446748409,17,8,0.6473031222484925,COMPLETE
9,2469.5908699017573,0.3057688306609823,0.674676987878623,rmse,5.367158467604041,1.1194427575946637,0.0017940841765599208,3,89,0.5996739641067613,COMPLETE
10,1146.6403072082683,9.499297681396826,0.5163665211237182,rmse,0.07615187010642577,0.058596741392520836,0.01482754228900258,24,1,0.4031415789982914,COMPLETE
11,1145.8298440734197,0.0011154715809222548,0.5528957146555713,rmse,0.025134681337404523,0.39985329409019843,0.08432840511379348,7,70,0.7810584873410158,COMPLETE
12,1288.6809748272835,0.006651289520191831,0.533484495303852,rmse,0.07141212529732635,1.512215021291221,0.0037556575864534547,9,298,0.8270702068394651,COMPLETE
