number,value,params_alpha,params_colsample_bytree,params_eval_metric,params_gamma,params_lambda,params_learning_rate,params_max_depth,params_min_child_weight,params_subsample,state
0,1279.0727848530234,0.18061299745430967,0.6177695698678047,rmse,0.0011399707903531075,0.036713768149293474,0.0013104939550125068,13,215,0.8410931598733031,COMPLETE
1,1156.6768893180429,0.03829012383453155,0.7037605774392015,rmse,0.2347473341549982,0.07358793817233744,0.004361844880363444,10,50,0.5424529182763835,COMPLETE
2,1188.221638953568,0.019419190706973836,0.7910701518193682,rmse,0.0013526544546550066,4.098278516015061,0.0032451962881654417,8,83,0.6822448491064803,COMPLETE
3,1157.1656949467533,0.0035945928070996976,0.7111857843407218,rmse,0.00506729858140245,0.88366267198132,0.024111099133370315,12,6,0.5769889392862237,COMPLETE
4,1185.1189818670805,0.03972489783049301,0.7610785535251858,rmse,0.30416839826861736,7.037741745406127,0.0880914195397784,20,185,0.9558288184098921,COMPLETE
5,1400.9038998921642,0.45652426114969336,0.4090310575652223,rmse,2.8013611724282654,0.006810058449102255,0.0010145153353754378,8,48,0.659426212139536,COMPLETE
6,1160.187301546846,0.0030281255111082777,0.8495281650125852,rmse,5.371435758852129,0.03956026291618566,0.03820316787048818,24,278,0.7477167908137603,COMPLETE
7,1157.2285559922245,0.0022170815634046928,0.6634323202323738,rmse,0.004080146135271949,1.1615714767611058,0.00466682331019638,9,47,0.6203102761711322,COMPLETE
