number,value,params_alpha,params_colsample_bytree,params_eval_metric,params_gamma,params_lambda,params_learning_rate,params_max_depth,params_min_child_weight,params_subsample,state
0,1275.2186956629916,0.007708751707285984,0.816838165028734,rmse,1.625921832354217,0.003467770991740347,0.0020681940638255874,6,232,0.4999231556385858,COMPLETE
1,1140.8933175693824,7.468296257729485,0.7263564171850683,rmse,0.20949570434063916,0.0010045877117621737,0.028455157078613767,9,110,0.968465788800887,COMPLETE
2,1149.7892575266962,0.0020793522083098264,0.5430644014995107,rmse,7.06148409258618,0.23795673209497836,0.020643830496601002,16,71,0.6574967195251378,COMPLETE
3,1197.3361730520332,0.4556035895736644,0.38801880930734445,rmse,0.0016717049056759845,0.008456390125686624,0.08213129563336564,16,156,0.8233478166190984,COMPLETE
4,1276.1581868099015,0.0061085262384015645,0.9416494428686895,rmse,0.07043058558139387,0.1588198592664418,0.0015112390861911026,9,23,0.7606173592894939,COMPLETE
5,1159.4885374723954,0.1849084522203663,0.6851210090665,rmse,1.5790368092952163,1.7429911657273485,0.0035389753798544168,16,160,0.5724800992357215,COMPLETE
6,1156.4658774993734,0.12822824657870094,0.8939575538844888,rmse,0.49028750122173503,0.6364715353629533,0.03996059323683675,13,250,0.7790269732100672,COMPLETE
7,1253.955672040896,3.2733179885723227,0.44477581109450137,rmse,0.014412208323659456,3.388966351509862,0.0037165424549130597,4,10,0.5300339714920381,COMPLETE
