number,value,params_alpha,params_colsample_bytree,params_eval_metric,params_lambda,params_learning_rate,params_max_depth,params_min_child_weight,params_subsample,state
72,1171.313303502356,4.506822099932811,0.3104591352645457,rmse,0.023898828383605294,0.010700425252299353,22,60,0.7261643988731493,COMPLETE
73,1173.2263713278974,0.6489232445636569,0.727432086441336,rmse,0.126818015093572,0.008244330014442367,19,108,0.8010414026891268,COMPLETE
74,1177.4200269369994,0.32032493107054755,0.4251102157616543,rmse,0.015496162396227125,0.009065869132512722,23,17,0.6859605566191648,COMPLETE
75,1174.9219711453575,2.77813141215945,0.3558509440148712,rmse,0.043165274108952864,0.006714846595977024,20,124,0.7460042855414997,COMPLETE
76,1172.8894612933923,0.0020935554904551483,0.3192178448580373,rmse,0.02792484022677059,0.011968623719889363,18,36,0.4027669792112741,COMPLETE
77,1170.905410276912,0.0014832186786666542,0.47819378313214556,rmse,0.08302123969148076,0.009861569830839993,25,90,0.7827065697259763,COMPLETE
78,1176.5774989286685,0.004011678257343438,0.4514047884800747,rmse,0.002292517699267519,0.0212127964882973,21,67,0.8722616140318805,COMPLETE
79,1171.997854711264,0.005321774653978513,0.40405729638865434,rmse,0.06685627268712095,0.015583995481786414,22,84,0.8242171444314543,COMPLETE
80,1173.6391023204824,0.0029354430366246294,0.5294180720160409,rmse,0.11287312160594437,0.004588970416029875,23,74,0.9212534522030722,COMPLETE
81,1173.1373634136864,0.0038073098079081237,0.37152808571431106,rmse,0.005544449612341386,0.005876779710984693,20,52,0.8964649096462144,COMPLETE
82,1170.5862509063713,0.0018076948374619105,0.45185128311803335,rmse,0.0029532122481447966,0.007478753735002024,21,82,0.9788160684912574,COMPLETE
83,1170.9357607227955,0.0013015155535568272,0.41315238638838775,rmse,0.0015700458433060296,0.007052816049203361,22,62,0.9832950593049739,COMPLETE
84,1170.4705901876946,0.0017749077179548822,0.4969409258457606,rmse,0.0031388075094428065,0.008082779998701566,19,94,0.9374430139748241,COMPLETE
85,1170.0000481870784,0.0024774089906056743,0.47010705333959124,rmse,0.3172751974441725,0.01118155517807437,19,92,0.9488409326735079,COMPLETE
86,1169.8205005630134,0.002645180885526312,0.5054430292517325,rmse,0.340968583694557,0.011460724901018224,18,97,0.9535077994383823,COMPLETE
87,1170.4418085122295,0.002457064053029823,0.5634785527842392,rmse,0.3317852541408541,0.011382166184109909,18,95,0.9336817993442721,COMPLETE
88,1171.2763826362218,0.002576462562953244,0.5718102590354832,rmse,0.33248213743226,0.01698744624094749,18,126,0.948995718119231,COMPLETE
89,1170.7906284219227,0.005906010796750568,0.6145035197547636,rmse,0.6096998230229563,0.011373028737542494,19,97,0.9318988729872778,COMPLETE
90,1170.329169861092,0.014287585108120478,0.5506118938080412,rmse,0.5011164200036071,0.013848376451319776,16,106,0.9538893285160974,COMPLETE
91,1171.716266383078,0.008627022051159883,0.5515667383579865,rmse,0.4374730856259218,0.020624983483146724,16,107,0.95400689084954,COMPLETE
92,1170.4582936124,0.004139197783006513,0.5058166273240849,rmse,0.24128208488366734,0.013812003752080245,17,117,0.9990136738567598,COMPLETE
93,1170.6839610420432,0.0047012300389414514,0.5153450054479974,rmse,0.34869791621723756,0.012900623758069208,17,119,0.9902346482282903,COMPLETE
94,1170.633030624287,0.015349090755804947,0.5308419830823357,rmse,0.23130712153983612,0.014537886539121424,15,89,0.9179084311357963,COMPLETE
95,1171.245828817085,0.011752425643640147,0.5620160699339498,rmse,0.4936682365237435,0.011966103433222975,16,137,0.9580248643765399,COMPLETE
96,1170.4513671732625,0.0036504538981400707,0.5031649713415376,rmse,0.17565722607110934,0.013460012775561445,18,104,0.9968091665285338,COMPLETE
97,1170.9434367253891,0.0031174216409138064,0.47016651394134384,rmse,0.7522221792817313,0.01769447012856817,18,105,0.9741543814546496,COMPLETE
98,1172.05470685815,0.00592393143349504,0.642735393534139,rmse,0.1818987545346497,0.01091234356774957,14,86,0.9303123883477136,COMPLETE
99,1170.1241389248573,0.0034784030643151185,0.4436764769257645,rmse,0.15274799882435283,0.015959638276002434,18,99,0.9456034889586683,COMPLETE
100,1171.2709724499077,0.0021400045914581048,0.3947931724466956,rmse,0.5222313207817627,0.01567613838483358,20,78,0.9116208103067744,COMPLETE
101,1177.3576435992009,0.002660069390969077,0.4423969103460109,rmse,1.6038446149807126,0.02199617378946464,20,97,0.4586544722967607,COMPLETE
102,1170.2673297062352,0.0034765077343883685,0.4880260075261668,rmse,0.26931709514595464,0.010148108315410834,19,109,0.9461840933404124,COMPLETE
103,1169.9402296796682,0.00841456958500932,0.4622405208821466,rmse,0.3011669881477024,0.01023622327740942,19,111,0.9466447451526808,COMPLETE
104,1170.045944584305,0.0077380417034622435,0.4238664263822979,rmse,0.2689283825340886,0.009876188722498158,19,126,0.9446627945637653,COMPLETE
105,1169.989914961763,0.007727881389565635,0.45250642455368983,rmse,0.25877713450469597,0.010661338342895973,19,109,0.9529940987081081,COMPLETE
106,1170.537692765811,0.008312103706752906,0.45844976132613235,rmse,0.27119649076628033,0.00936553004723867,19,133,0.946633214330601,COMPLETE
107,1170.879727160246,0.0066030510722545795,0.42283575638409077,rmse,0.15123000704041706,0.010239060817276007,19,157,0.9675718522278729,COMPLETE
108,1170.3547380223868,0.02198316261550698,0.48974035055951415,rmse,0.09501372913928155,0.009306961354416908,19,113,0.9807711305342928,COMPLETE
