iter	Logloss
0	0.6889358398
1	0.6847945313
2	0.6812618164
3	0.6777117676
4	0.6742607422
5	0.6709916992
6	0.6675269531
7	0.6651161133
8	0.6623265137
9	0.6602047852
10	0.6574144531
11	0.654920752
12	0.6525940918
13	0.6503205078
14	0.648087793
15	0.6460092773
16	0.6437193359
17	0.6417024414
18	0.6397395508
19	0.6378101563
20	0.636059668
21	0.6349243164
22	0.6330962891
23	0.6314366211
24	0.6302298828
25	0.6288774902
26	0.6273291504
27	0.6259060547
28	0.6245006348
29	0.6232364258
30	0.6220323242
31	0.6208929199
32	0.6198410156
33	0.6184025391
34	0.6170851563
35	0.6157966797
36	0.6148202637
37	0.6134223633
38	0.6121580078
39	0.6110198242
40	0.6100774902
41	0.6091063965
42	0.6082523438
43	0.6074015625
44	0.6066096191
45	0.6059210938
46	0.6051410156
47	0.604370752
48	0.6037223633
49	0.6028892578
50	0.6019753906
51	0.6010087402
52	0.6002637695
53	0.5995147461
54	0.5988266602
55	0.5982538574
56	0.5974029785
57	0.5967763672
58	0.5960674316
59	0.5952694336
60	0.594535498
61	0.5937869141
62	0.5932047852
63	0.5926150391
64	0.5920307129
65	0.5914732422
66	0.5908772461
67	0.5904833008
68	0.5899791016
69	0.5893863281
70	0.5890480469
71	0.5884656738
72	0.5878345703
73	0.5872510742
74	0.586833252
75	0.5862227539
76	0.5857614258
77	0.5852433594
78	0.5847949219
79	0.5843038086
80	0.5836664062
81	0.5832789063
82	0.5829127441
83	0.5823978027
84	0.5819552734
85	0.5814137695
86	0.5808519043
87	0.5802495605
88	0.5797378906
89	0.5793214844
90	0.5790148926
91	0.5784420898
92	0.5779306152
93	0.5775036133
94	0.5771724609
95	0.576596582
96	0.576023291
97	0.5755964844
98	0.575234668
99	0.5746608398
100	0.5742169922
101	0.5737632324
102	0.5735066406
103	0.5730106445
104	0.5725095215
105	0.5721472168
106	0.5717758789
107	0.5712245117
108	0.5708388672
109	0.570495166
110	0.5701674805
111	0.5698391113
112	0.5693962891
113	0.5689611816
114	0.5685341309
115	0.5682068359
116	0.567919873
117	0.5676053711
118	0.5672060547
119	0.5668567383
120	0.5665523437
121	0.5661316895
122	0.5657571289
123	0.5652866211
124	0.5649269043
125	0.5645349609
126	0.5641563477
127	0.5638079102
128	0.5634664551
129	0.5630008789
130	0.5626186523
131	0.5621163086
132	0.5617742676
133	0.5615018555
134	0.5611638672
135	0.5609178223
136	0.5606424805
137	0.5603756348
138	0.5601256348
139	0.5597107422
140	0.5593844238
141	0.5589807129
142	0.558715332
143	0.5583246094
144	0.5580413086
145	0.5577439453
146	0.5574793945
147	0.5572216309
148	0.5568131836
149	0.5564431152
150	0.5560759766
151	0.5557865234
152	0.5554795898
153	0.5551586914
154	0.5549410645
155	0.5546786621
156	0.5543310547
157	0.5540553223
158	0.5537537109
159	0.5535110352
160	0.5532578613
161	0.5529263184
162	0.5527370117
163	0.5523803711
164	0.552117627
165	0.5518561523
166	0.5515577148
167	0.551309375
168	0.5510142578
169	0.5507134277
170	0.5502697266
171	0.5499454102
172	0.5495435059
173	0.5490513672
174	0.5487816406
175	0.5484536133
176	0.5482255859
177	0.547953125
178	0.5477294922
179	0.5474852539
180	0.5471196777
181	0.5468660156
182	0.5465801758
183	0.5462711426
184	0.5460231934
185	0.5456694336
186	0.5454111328
187	0.5451958008
188	0.5449195313
189	0.5444699707
190	0.5442337402
191	0.5439845215
192	0.5437510742
193	0.5434614258
194	0.5432755859
195	0.5430461914
196	0.5428124512
197	0.5424657227
198	0.5422964844
199	0.5420982422
200	0.5418452148
201	0.541637207
202	0.5413735352
203	0.5411137695
204	0.5408166992
205	0.5406104492
206	0.5404119141
207	0.5401349121
208	0.5397341309
209	0.5395477539
210	0.5392956055
211	0.5390756836
212	0.5388339844
213	0.5385677246
214	0.538296875
215	0.5380509277
216	0.537775293
217	0.5375167969
218	0.5372638672
219	0.5369769531
220	0.5366764648
221	0.5363807617
222	0.536228125
223	0.5360182129
224	0.5358039551
225	0.5356732422
226	0.5354012207
227	0.535165332
228	0.5349609375
229	0.5347798828
230	0.5345644531
231	0.5341602539
232	0.5338819336
233	0.5336748047
234	0.5334317383
235	0.5332291992
236	0.5329097168
237	0.5326728516
238	0.5324227051
239	0.5322293945
240	0.5319139648
241	0.531725
242	0.5314385742
243	0.5311947266
244	0.5309401367
245	0.5307277832
246	0.5304760742
247	0.5302436523
248	0.5300255859
249	0.5297130859
250	0.5293616211
251	0.5291323242
252	0.5289140625
253	0.528778125
254	0.5285859375
255	0.5283663086
256	0.5280792969
257	0.527903125
258	0.5276806641
259	0.5274912109
260	0.5273171875
261	0.5270582031
262	0.5269157227
263	0.5266312988
264	0.5263443848
265	0.5261885742
266	0.5259963867
267	0.5257653809
268	0.5255217285
269	0.5252506348
270	0.5249699707
271	0.524707666
272	0.5244349121
273	0.5242365723
274	0.52406875
275	0.5238495605
276	0.523634668
277	0.5233664062
278	0.5231551758
279	0.5229518555
280	0.5227679687
281	0.5225978027
282	0.5224242188
283	0.5222583496
284	0.5220837891
285	0.5218511719
286	0.5216222656
287	0.5213722656
288	0.5211265625
289	0.5208730469
290	0.5206873535
291	0.5204323242
292	0.5202740234
293	0.5199709473
294	0.5198441406
295	0.5195576172
296	0.5193689941
297	0.5191751953
298	0.5189327148
299	0.5187026855
300	0.5184349121
301	0.5182272949
302	0.5179845215
303	0.5178234375
304	0.5176180176
305	0.5173128906
306	0.5170745117
307	0.5168947754
308	0.5167014648
309	0.5165266602
310	0.516298877
311	0.5160385254
312	0.5157554688
313	0.5155165039
314	0.5153024414
315	0.5151285645
316	0.5149038086
317	0.5146163086
318	0.5144762695
319	0.5142407227
320	0.5140140625
321	0.5138306152
322	0.5136861328
323	0.5134575684
324	0.5132234375
325	0.5130004883
326	0.5127414062
327	0.5125724121
328	0.5123791016
329	0.5120596191
330	0.5118730469
331	0.511652832
332	0.5113999023
333	0.511134375
334	0.5108608398
335	0.5106507812
336	0.5104120117
337	0.5101722168
338	0.5099352051
339	0.5095630371
340	0.5093647461
341	0.5090839355
342	0.5088117676
343	0.5085448242
344	0.5083698242
345	0.5080915527
346	0.5078660156
347	0.5075489746
348	0.5072981445
349	0.5070648926
350	0.5068679199
351	0.5066487305
352	0.5064355469
353	0.5061600586
354	0.5059919922
355	0.5057086914
356	0.505437793
357	0.5052623047
358	0.5050177246
359	0.5048565918
360	0.5045340332
361	0.5042902344
362	0.5041123535
363	0.5038978516
364	0.5036571777
365	0.5034077148
366	0.5031271484
367	0.502909668
368	0.5026173828
369	0.5023100586
370	0.5020768066
371	0.5018307617
372	0.5016345215
373	0.5014373047
374	0.5012086426
375	0.500967334
376	0.5007375977
377	0.500499707
378	0.5003177734
379	0.5000513672
380	0.4998850586
381	0.4996089844
382	0.4994212891
383	0.4992302734
384	0.4990046387
385	0.4987174805
386	0.4985248535
387	0.4982891113
388	0.4980307617
389	0.497867334
390	0.4975866699
391	0.4973576172
392	0.4970953125
393	0.496849707
394	0.4966056641
395	0.4963459473
396	0.496168457
397	0.4959206543
398	0.4956730957
399	0.4955340332
400	0.4952956543
401	0.494990332
402	0.4946795898
403	0.4945149902
404	0.4942522949
405	0.4938626953
406	0.4936774414
407	0.4934297852
408	0.4931927246
409	0.4929144531
410	0.4927013184
411	0.4924546387
412	0.4922130859
413	0.4919228516
414	0.4916827148
415	0.4915124512
416	0.4911949219
417	0.4908388672
418	0.4905676758
419	0.4902771484
420	0.4900635254
421	0.4898802246
422	0.489586084
423	0.4892848633
424	0.4890462891
425	0.4888223633
426	0.4885106934
427	0.4882717773
428	0.4880538086
