iter	Passed	Remaining
428	1737	2312
429	1741	2308
430	1745	2304
431	1749	2300
432	1753	2296
433	1757	2292
434	1761	2288
435	1765	2283
436	1769	2279
437	1773	2275
438	1777	2271
439	1781	2267
440	1785	2263
441	1789	2259
442	1793	2255
443	1798	2251
444	1802	2247
445	1806	2243
446	1810	2239
447	1814	2235
448	1819	2232
449	1823	2228
450	1827	2224
451	1831	2220
452	1835	2216
453	1840	2213
454	1844	2209
455	1849	2206
456	1853	2202
457	1856	2197
458	1860	2193
459	1864	2188
460	1868	2184
461	1872	2180
462	1876	2175
463	1879	2171
464	1883	2167
465	1887	2163
466	1891	2159
467	1895	2155
468	1900	2151
469	1904	2147
470	1908	2143
471	1912	2139
472	1916	2135
473	1920	2131
474	1924	2127
475	1928	2122
476	1932	2118
477	1936	2114
478	1940	2111
479	1945	2107
480	1949	2103
481	1953	2098
482	1956	2094
483	1960	2090
484	1964	2085
485	1968	2081
486	1972	2077
487	1976	2073
488	1979	2068
489	1983	2064
490	1987	2060
491	1991	2056
492	1995	2052
493	2000	2049
494	2004	2045
495	2008	2040
496	2012	2037
497	2017	2033
498	2021	2029
499	2025	2025
500	2029	2021
501	2033	2017
502	2038	2014
503	2042	2009
504	2046	2005
505	2050	2001
506	2054	1997
507	2058	1993
508	2062	1989
509	2066	1985
510	2070	1981
511	2074	1977
512	2078	1972
513	2082	1969
514	2086	1965
515	2090	1961
516	2094	1957
517	2098	1953
518	2102	1948
519	2106	1944
520	2110	1940
521	2114	1936
522	2118	1932
523	2122	1928
524	2126	1924
525	2130	1920
526	2134	1915
527	2138	1911
528	2142	1907
529	2146	1903
530	2150	1899
531	2154	1895
532	2158	1890
533	2161	1886
534	2166	1882
535	2169	1878
536	2174	1874
537	2178	1870
538	2182	1866
539	2185	1862
540	2189	1857
541	2193	1853
542	2197	1849
543	2202	1846
544	2206	1842
545	2210	1838
546	2214	1834
547	2218	1830
548	2222	1825
549	2226	1821
550	2230	1817
551	2234	1813
552	2238	1809
553	2242	1805
554	2246	1801
555	2250	1796
556	2254	1792
557	2258	1788
558	2262	1784
559	2265	1780
560	2270	1776
561	2274	1772
562	2278	1768
563	2282	1764
564	2286	1760
565	2290	1756
566	2294	1751
567	2297	1747
568	2301	1743
569	2305	1739
570	2309	1735
571	2313	1731
572	2317	1727
573	2321	1722
574	2325	1718
575	2329	1714
576	2333	1710
577	2337	1706
578	2341	1702
579	2345	1698
580	2348	1693
581	2352	1689
582	2356	1685
583	2360	1681
584	2364	1677
585	2368	1673
586	2372	1669
587	2376	1665
588	2380	1660
589	2384	1656
590	2387	1652
591	2392	1648
592	2396	1644
593	2400	1640
594	2404	1636
595	2408	1632
596	2412	1628
597	2417	1625
598	2421	1621
599	2425	1617
600	2429	1613
