iter	Logloss
0	0.4851961446
1	0.3597258168
2	0.2832616918
3	0.2368938205
4	0.2079332248
5	0.189672252
6	0.177943142
7	0.1701283322
8	0.1649998659
9	0.1615305874
10	0.1591150006
11	0.1572787167
12	0.1559547836
13	0.1551047301
14	0.1545415285
15	0.1539910909
16	0.1536141293
17	0.1533404729
18	0.1531177818
19	0.1529352348
20	0.1528011619
21	0.1526764614
22	0.1525641496
23	0.152468039
24	0.1524014242
25	0.1523318391
26	0.1522628009
27	0.1522339939
28	0.1521645949
29	0.1521174531
30	0.1520784727
31	0.1520248597
32	0.1519774294
33	0.1519189986
34	0.1518656376
35	0.1518312571
36	0.1517780633
37	0.1517396027
38	0.151697216
39	0.151652022
40	0.1516147149
41	0.1515877237
42	0.1515579583
43	0.1515220871
44	0.1514889935
45	0.1514512204
46	0.151418343
47	0.151390024
48	0.1513554307
49	0.1513282836
50	0.1513055654
51	0.1512945639
52	0.1512702878
53	0.1512538666
54	0.1512303682
55	0.1511955544
56	0.1511698845
57	0.1511448856
58	0.1511225947
59	0.1510910949
60	0.1510635323
61	0.1510432593
62	0.1510199247
63	0.151008685
64	0.1509977508
65	0.1509770277
66	0.1509555781
67	0.150928578
68	0.1509064448
69	0.1508883187
70	0.1508712719
71	0.1508516144
72	0.150839018
73	0.1508240291
74	0.1508074665
75	0.1507840516
76	0.1507683162
77	0.1507447852
78	0.1507353942
79	0.1507173729
80	0.1507010661
81	0.1506859065
82	0.1506547228
83	0.1506314723
84	0.1506064313
85	0.1505830543
86	0.1505649431
87	0.1505298199
88	0.1505182527
89	0.1505092455
90	0.1504851998
91	0.1504608282
92	0.1504377389
93	0.1504110552
94	0.1503991612
95	0.1503826911
96	0.15035396
97	0.1503388539
98	0.1503169641
99	0.1502834895
100	0.1502686272
101	0.1502414753
102	0.1502253535
103	0.1502059917
104	0.1501893675
105	0.1501672396
106	0.1501522343
107	0.1501386035
108	0.15010206
109	0.1500771862
110	0.1500470479
111	0.1500305561
