iter	Passed	Remaining
402	10253	15188
403	10277	15161
404	10302	15135
405	10327	15109
406	10352	15084
407	10380	15062
408	10406	15036
409	10436	15019
410	10463	14994
411	10489	14970
412	10513	14943
413	10540	14919
414	10564	14891
415	10590	14867
416	10618	14845
417	10641	14816
418	10667	14791
419	10693	14766
420	10717	14739
421	10743	14715
422	10767	14687
423	10790	14659
424	10814	14631
425	10841	14608
426	10867	14583
427	10892	14557
428	10920	14535
429	10942	14505
430	10965	14476
431	10990	14449
432	11014	14423
433	11040	14399
434	11069	14377
435	11095	14353
436	11123	14330
437	11149	14306
438	11177	14284
439	11200	14255
440	11226	14230
441	11254	14207
442	11279	14182
443	11306	14159
444	11333	14135
445	11360	14110
446	11386	14086
447	11413	14062
448	11439	14037
449	11467	14015
450	11491	13988
451	11517	13963
452	11543	13938
453	11570	13914
454	11596	13889
455	11623	13867
456	11649	13841
457	11675	13816
458	11703	13794
459	11731	13771
460	11755	13744
461	11780	13718
462	11808	13696
463	11833	13669
464	11858	13644
465	11883	13617
466	11911	13594
467	11936	13569
468	11962	13543
469	11989	13520
470	12015	13495
471	12042	13471
472	12069	13447
473	12092	13419
474	12117	13393
475	12147	13371
476	12172	13346
477	12198	13321
478	12223	13295
479	12246	13267
480	12271	13240
481	12297	13216
482	12319	13186
483	12339	13155
484	12366	13131
485	12391	13105
486	12418	13081
487	12444	13056
488	12467	13028
489	12497	13007
490	12521	12980
491	12545	12953
492	12569	12926
493	12594	12900
494	12619	12874
495	12645	12849
496	12668	12821
497	12695	12797
498	12722	12773
499	12748	12748
500	12774	12723
501	12799	12697
502	12825	12672
503	12852	12648
504	12882	12627
505	12910	12603
506	12933	12576
507	12959	12551
508	12990	12530
509	13018	12507
510	13041	12480
511	13067	12454
512	13092	12428
513	13116	12402
514	13143	12378
515	13167	12350
516	13191	12324
517	13217	12298
518	13242	12273
519	13266	12246
520	13291	12220
521	13316	12194
522	13341	12168
523	13367	12142
524	13391	12115
525	13414	12088
526	13442	12065
527	13472	12043
528	13497	12017
529	13523	11992
530	13549	11967
531	13575	11942
532	13601	11916
533	13624	11889
534	13648	11862
535	13673	11837
536	13705	11816
537	13733	11793
538	13758	11767
539	13790	11747
540	13817	11723
541	13844	11698
542	13869	11672
543	13896	11648
544	13924	11625
545	13949	11599
546	13979	11577
547	14003	11550
548	14030	11526
549	14054	11498
550	14079	11472
551	14100	11444
552	14126	11418
553	14150	11391
554	14177	11367
555	14202	11341
556	14226	11314
557	14250	11287
558	14276	11263
559	14303	11238
560	14328	11212
561	14354	11187
562	14379	11161
563	14406	11136
564	14432	11111
565	14456	11085
566	14480	11058
567	14508	11034
568	14532	11007
569	14561	10984
570	14587	10959
571	14617	10937
572	14643	10912
573	14671	10888
574	14697	10863
575	14723	10838
576	14751	10814
577	14775	10787
578	14801	10762
579	14824	10735
580	14851	10710
581	14875	10684
582	14901	10658
583	14926	10632
584	14952	10607
585	14976	10580
586	15002	10555
587	15027	10529
588	15053	10504
589	15078	10478
590	15104	10452
591	15127	10425
592	15155	10401
593	15178	10374
594	15204	10349
595	15231	10324
596	15254	10297
597	15280	10271
598	15302	10244
599	15327	10218
600	15352	10192
601	15377	10166
602	15402	10140
603	15429	10115
604	15454	10090
605	15477	10062
606	15498	10034
607	15524	10009
608	15550	9984
609	15574	9957
610	15597	9930
611	15623	9905
612	15650	9880
613	15677	9855
614	15705	9831
615	15728	9804
616	15759	9782
617	15783	9756
618	15808	9730
619	15831	9703
620	15858	9678
621	15885	9653
622	15911	9628
623	15935	9602
624	15960	9576
625	15980	9547
626	16006	9522
627	16031	9496
628	16056	9470
629	16085	9447
630	16109	9420
631	16135	9395
632	16161	9370
633	16186	9344
634	16213	9319
635	16238	9293
636	16263	9268
637	16289	9242
638	16315	9217
639	16341	9192
640	16368	9167
641	16393	9141
642	16419	9116
643	16448	9092
644	16472	9066
645	16499	9041
646	16527	9017
647	16551	8990
648	16576	8965
649	16601	8939
650	16626	8913
651	16651	8887
652	16677	8862
653	16704	8837
654	16727	8810
655	16750	8783
656	16775	8758
657	16801	8732
658	16826	8707
659	16853	8682
660	16880	8657
661	16906	8631
662	16932	8606
663	16960	8582
664	16984	8555
665	17011	8531
666	17037	8505
667	17061	8479
668	17088	8454
669	17111	8427
670	17136	8402
671	17161	8376
672	17187	8350
673	17211	8324
674	17237	8299
675	17264	8274
676	17290	8249
677	17316	8223
678	17342	8198
679	17368	8173
680	17394	8148
681	17417	8121
682	17442	8095
683	17468	8070
684	17496	8045
685	17523	8021
686	17549	7995
687	17576	7970
688	17600	7944
689	17622	7917
690	17648	7891
691	17673	7866
692	17694	7838
693	17716	7811
694	17742	7786
695	17765	7759
696	17793	7735
697	17817	7709
698	17843	7683
699	17868	7657
700	17897	7633
701	17922	7607
702	17948	7582
703	17975	7557
704	18000	7532
705	18025	7506
706	18050	7480
707	18075	7455
708	18100	7429
709	18125	7403
710	18151	7377
711	18176	7352
712	18203	7327
713	18227	7301
