iter	MultiClass
0	1.954768116
1	1.812755061
2	1.707800642
3	1.621331279
4	1.555351855
5	1.493775592
6	1.447513196
7	1.398774847
8	1.355428285
9	1.318010106
10	1.287925072
11	1.255929149
12	1.229678534
13	1.204097933
14	1.179072353
15	1.158124387
16	1.138430011
17	1.119357641
18	1.100783133
19	1.084294979
20	1.070236092
21	1.055023723
22	1.042012687
23	1.027165098
24	1.017413787
25	1.002427241
26	0.9940969084
27	0.9813412855
28	0.9694367237
29	0.9622734386
30	0.9556458123
31	0.9425771164
32	0.933826448
33	0.9262674819
34	0.9180007585
35	0.9114296048
36	0.9053121913
37	0.8985320271
38	0.8892209367
39	0.8827140165
40	0.8761187468
41	0.8706857811
42	0.8641119361
43	0.8585873804
44	0.851240841
45	0.8445873947
46	0.8383402221
47	0.8331375189
48	0.8276617085
49	0.8226599982
50	0.8183266687
51	0.8135131994
52	0.8086230335
53	0.8053609353
54	0.801297014
55	0.7975231436
56	0.7933525275
57	0.7892367077
58	0.785882671
59	0.7819308227
60	0.7795455806
61	0.7773736358
62	0.774906924
63	0.7710313034
64	0.7683111806
65	0.7650040785
66	0.7608295716
67	0.7555959011
68	0.7531808776
69	0.7508085473
70	0.7486246271
71	0.7464421075
72	0.7432623264
73	0.7398677008
74	0.7369183598
75	0.734969392
76	0.7320242733
77	0.7288192181
78	0.7255977672
79	0.7237640987
80	0.7215584583
81	0.7195575045
82	0.7164739404
83	0.7138637452
84	0.7121377212
85	0.7081684768
86	0.7062403046
87	0.703880658
88	0.7023154112
89	0.7004838747
90	0.6986746741
91	0.697234688
92	0.6961170485
93	0.693798572
94	0.6924393491
95	0.6906666119
96	0.6895531623
97	0.6875851903
98	0.6860232799
99	0.684554265
100	0.6827376691
101	0.6810524129
102	0.6798137961
103	0.6782999578
104	0.6765221913
105	0.675155936
106	0.6734366
107	0.6716077157
108	0.6699369035
109	0.6679503316
110	0.6667217999
111	0.664940341
112	0.6634619961
113	0.6616347986
114	0.659681
115	0.6583172162
116	0.6571743013
117	0.6559359766
118	0.6549109513
119	0.6530042341
120	0.6516801325
121	0.650363967
122	0.6490728037
123	0.6479766748
124	0.6461463416
125	0.6451255728
126	0.6439977569
127	0.6425220292
128	0.641180504
129	0.6399301461
130	0.6382834658
131	0.6368385898
132	0.6356172847
133	0.6347559285
134	0.6338955183
135	0.633462398
136	0.632140723
137	0.6309202256
138	0.6294225921
139	0.6284072251
140	0.6275913603
141	0.6267150591
142	0.6258464161
143	0.6247715762
144	0.6234200254
145	0.6225351959
146	0.6210502894
147	0.6198041019
148	0.6185545399
149	0.6169776666
150	0.6160641059
151	0.6151500086
152	0.6137786266
153	0.6128108697
154	0.611806528
155	0.6110197596
156	0.6096810132
157	0.6086390235
158	0.6076160289
159	0.6066631779
160	0.6056837818
161	0.6051430584
162	0.6040174838
163	0.6028163863
164	0.6019716909
165	0.6011499578
166	0.5999737693
167	0.5994452238
168	0.59857869
169	0.5976105306
170	0.5967652604
171	0.5960903417
172	0.5949694477
173	0.5938381691
174	0.5926051718
175	0.5919844016
176	0.5913958812
177	0.5910919049
178	0.5902377548
179	0.5895623304
180	0.5889486982
181	0.5881454077
182	0.5871698022
183	0.586513666
184	0.585724886
185	0.5851364749
186	0.584636309
187	0.5842860719
188	0.5835027385
189	0.5831167894
190	0.5825813286
191	0.5818922466
192	0.5815048769
193	0.5809768203
194	0.580335398
195	0.5796782934
196	0.5791880147
197	0.57860547
198	0.5781446347
199	0.5776758699
200	0.5771658637
201	0.5766257155
202	0.5761200178
203	0.5756694602
204	0.5750852966
205	0.5748182652
206	0.5744887233
207	0.5735954139
208	0.5728742146
209	0.5723795823
210	0.5715503426
211	0.5711388342
212	0.5708611138
213	0.5703368852
214	0.5698250769
215	0.5692003614
216	0.5687125895
217	0.5683424112
218	0.5678008293
219	0.5672574877
220	0.566452043
221	0.5658191632
222	0.5655903251
223	0.565220819
224	0.5647409114
225	0.5642675022
226	0.5636404279
227	0.5631252489
228	0.5622957984
229	0.5614114884
230	0.5606543525
231	0.5600609483
232	0.5595672709
233	0.5589987575
234	0.5584738254
235	0.5580192097
236	0.5575301066
237	0.5570712911
238	0.5564854924
239	0.5559645785
240	0.5552000078
241	0.5540151106
242	0.5537715369
